File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes,License Type,Pricing Tier
A033_C003_091749_V1-0080.mp4,,00:01:12:08,,,5120 x 2160,r3d,"Camera pushing forward over healthy table corals, Acropora sp., on a healthy coral reef with a variety of damselfish and chromis in the water column, Komodo National Park, Indonesia, Pacific Ocean",slow-push-over-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,120,,,,,,,,,,2.37,Commercial,Premium
A033_C009_0917ZY_V1-0084.mp4,,00:00:44:02,,,5120 x 2160,r3d,"Camera pushing forward over a variety of healthy Acropora sp., corals including table and stag horn varieties. Leather coral and soft corals cover the reef with damsel fish, anthers and chromis in the water column, Komodo National Park, Indonesia, Pacific Ocean",slow-orbit-slomo-over-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 7:1,96,,,,,,,,,,2.37,Commercial,Premium
A033_C057_0917D8_V1-0110.mp4,,00:00:34:05,,,5120 x 2700,r3d,"Camera pushes forward over hard and soft corals with damselfish and chromis swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",slomo-push-towards-damselfish-acropora-and-fish,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Premium
A033_C012_09172P_V1-0089.mp4,,00:00:26:07,,,5120 x 2160,r3d,"Healthy shallow coral reef with a variety of hard and soft corals with schools of damselfish and anthias in the blue water column, Komodo National Park, Indonesia, Pacific Ocean",slomo-push-towards-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 7:1,96,,,,,,,,,,2.37,Commercial,Premium
A033_C015_0917HA_V1-0092.mp4,,00:01:15:10,,,5120 x 2160,r3d,"Colourful anthias and damselfish swim in the water column above a healthy branching Acropora coral with Porites sp. coral on the left and blue water, Komodo National Park, Indonesia, Pacific Ocean",slomo-damselfish-healthy-corals,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 7:1,96,,,,,,,,,,2.37,Commercial,Premium
A030_C016_09154R_001.R3D,,00:00:10:48,,,4800 x 2700,r3d,"Panning from right to left across a school of blue streak fusiliers, Pterocaesio tile, Komodo National Park, Indonesia, Pacific Ocean",school-of-fusilliers-near-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,"0,095833333",Commercial,Premium
A030_C015_09154U_001.R3D,,00:00:43:01,,,4800 x 2700,r3d,"Camera pushes through a school of blue streak fusiliers, Pterocaesio tile, swimming over a bare current swept bottom, Komodo National Park, Indonesia, Pacific Ocean",school-of-fusilliers-near-bottom,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,"0,095833333",Commercial,Premium
A033_C034_09174F_V1-0105.mp4,,00:00:44:00,,,5120 x 2700,r3d,"Tightly packed school of blue streak fusiliers, Pterocaesio tile, move right to left in a tight school in the water column, Komodo National Park, Indonesia, Pacific Ocean",school-fusilliers-swimming-diagonally-upward-slomo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Premium
A033_C039_0917BE_V1-0106.mp4,,00:01:09:50,,,5120 x 2700,r3d,"Large school of blue streak fusiliers, Pterocaesio tile, swim in the water column above a coral reef in Komodo National Park, Indonesia, Pacific Ocean",school-fusilliers-left-to-righ-slomo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Premium
A032_C085_0917CU_V2-0017.mp4,,00:00:05:13,,,5120 x 2700,r3d,"A landscape view of low clouds drifting over the volcanic peaks of Sangeang island, Sumbawa, Indonesia",sangeang-clouds-landscape,,"Sumbawa, Indonesia",Landscape,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Editorial,Standard
